PMOL,30-Jun-13,53.91,10,5,282.55,1219.49,4525.96,4.32,163.22,100.18,63.04,25,0,25,1060,2013
DADX,30-Jun-13,107.64,10,10,285.58,2881.06,2374.27,120.49,-0.24,12.07,-12.31,0,0,0,3823,2013
KHTC,30-Jun-13,12.02,10,1,293.57,833.68,914.46,2.99,38.25,16.52,21.73,50,0,50,727,2013
SNAI,30-Jun-13,68.75,10,6,296.64,654.86,1195.06,28.53,87.32,24.65,62.67,50,25,75,493,2013
KOHP,30-Jun-13,126,10,12,297.07,312.07,0,0.72,-52.44,0,-52.44,0,0,0,1164,2013
FNBM,30-Jun-13,250,10,25,297.91,2003.72,567.09,133.88,-16.86,0,-16.86,0,0,0,1186,2013
TRSM,30-Jun-13,298,10,29,304.51,428.52,101.01,0,23.03,0,23.03,6,0,6,2644,2013
HAFL,30-Jun-13,12,10,1,307.39,387.36,12.21,0.01,6.07,1.19,4.88,20,0,20,941,2013
SHDT,30-Jun-13,30,10,3,309.42,712.85,1785.12,32.2,136.77,24.59,112.18,15,0,15,206,2013
KOHTM,30-Jun-13,208,10,20,317.73,1573.15,2355.04,72.6,196.58,77.83,118.75,12.5,0,12.5,821,2013
GHNI,30-Jun-13,213.04,10,21,318.57,4136.32,2812.96,175.9,183.17,55.43,127.74,0,0,0,4731,2013
FANM,30-Jun-13,210,10,21,323.55,359.48,34.58,0.09,11.16,0.17,11,5,0,5,588,2013
NPSM,30-Jun-13,147,10,14,325.73,1221.17,2172.31,31.85,40.62,21.62,19,0,0,0,931,2013
ALQT,30-Jun-13,75.6,10,7,331.66,718.97,1819.08,31.95,53.37,9.04,44.33,0,0,0,888,2013
DCH,30-Jun-13,997.79,5,199,343.52,1534.13,2402.44,110.47,-43.32,-1.22,-42.1,0,0,0,3152,2013
FFLM,30-Jun-13,264.14,10,26,343.84,374.23,21.9,0.01,6.39,0,6.39,0,0,0,8341,2013
AYTM,30-Jun-13,14,10,1,345.37,3487.45,3370.75,94.5,74.7,-19.53,94.23,0,0,0,85,2013
KCORP,30-Jun-13,300,10,30,348.8,403.65,34.54,0,24.6,0.95,23.65,0,0,0,47,2013
SLYT,30-Jun-13,87.75,10,8,353.19,1807.66,3646.82,59.66,187.02,50.55,136.48,20,0,20,1647,2013
SANSM,30-Sep-13,119.46,10,11,354.77,1236.58,2771.45,80.31,14.27,7.37,6.9,0,0,0,1066,2013
DREL,30-Jun-13,320,10,32,359.9,465.97,478.74,0,5.61,1.72,3.89,0,0,0,97,2013
SSOM,30-Jun-13,56.58,10,5,372.01,1103.07,2298.7,44.33,55.75,9.83,45.92,0,0,0,1631,2013
IBLHL,30-Jun-13,200,10,20,372.61,497.47,863.75,3.31,121.63,21.01,100.62,15,15,30,4076,2013
PHDL,30-Jun-13,180,10,18,377.22,2487.66,363.64,0.88,34.62,10.68,23.94,70,0,70,174,2013
RUBY,30-Jun-13,522.14,10,52,380.61,1798.25,1113.21,43.79,294.53,42.63,251.9,0,0,0,895,2013
GLAT,30-Jun-13,266.4,10,26,389.81,1247.72,2322.85,58.65,146.27,10.85,135.42,0,0,0,279,2013
SFLL,30-Jun-13,200.91,10,20,390.24,391.06,18.71,0,17.42,1.87,15.55,10,0,10,807,2013
CWSM,30-Jun-13,200,5,40,399.08,1653.86,2741.83,36.16,138.3,21.92,116.37,15,0,15,609,2013
APOT,30-Jun-13,82.85,10,8,406.64,2932.74,3032.86,17.59,54.54,19.75,34.78,0,0,0,517,2013
PGLC,30-Jun-13,253.7,10,25,419.17,910.21,77.03,5.48,46.7,19.42,27.28,0,0,0,115,2013
REDCO,30-Jun-13,492.93,10,49,419.25,1590.18,2438.13,13.57,31.14,10.38,20.76,0,0,0,765,2013
UDPL,30-Jun-13,91.84,10,9,419.54,638.51,369.85,26.17,286.18,1.35,284.83,0,0,0,1287,2013
BPL,30-Jun-13,226.4,10,22,425.01,792.91,2350.87,4.07,87.23,31.78,55.46,28,0,28,1091,2013
TDIL,31-Dec-13,460,10,46,438.83,1075.54,807.8,0.77,78.36,26.84,51.52,0,0,0,460,2013
UPFL,31-Dec-13,61.58,10,6,449.73,2326.19,6958.85,9.04,1463.86,459.1,1004.76,1629.8,0,1629.8,808,2013
ADAMS,30-Sep-13,57.64,10,5,450.44,3577.39,2069.45,112.88,133.25,48.97,84.28,25,0,25,2279,2013
BERG,30-Jun-13,181.86,10,18,462.6,3038.43,4167.3,164.12,101.37,41.35,60.02,5,0,5,1322,2013
ASHT,30-Jun-13,262.39,10,26,467.13,746.15,795.25,12.34,75.9,7.4,68.5,0,58.33,58.33,665,2013
SSIC,31-Dec-13,305.65,10,30,490.27,1154.01,257.31,0,11.3,9.85,1.44,0,0,0,808,2013
PGCL,31-Dec-13,42.49,10,4,491.07,679.74,1317.21,9.13,92.55,16.11,76.44,50,0,50,458,2013
OTSU,30-Jun-13,100,10,10,491.95,1226.78,1293.71,46.61,-3.35,-0.22,-3.13,10,0,10,755,2013
ESBL,30-Jun-13,441,10,44,497.81,1491.23,241.19,0.12,18.39,-1.93,20.32,0,0,0,450,2013
BIFO,30-Jun-13,200,10,20,499.96,910.86,1284.69,12.21,371.08,84.82,286.26,130,0,130,470,2013
WAHN,30-Jun-13,90,10,9,500.39,691.07,1211.24,0.48,155.94,40.7,115.24,55,0,55,956,2013
SIBL,31-Dec-13,514.34,10,51,506.51,793.13,71.55,33.83,5.08,1.66,3.42,0,0,0,2263,2013
MACFL,30-Jun-13,388.86,10,38,511.74,1246.16,1462.01,127,294.11,85.39,208.72,5,0,5,1285,2013
PMI,30-Jun-13,872.18,10,87,515.68,584.89,75.89,0.11,25.96,0.17,25.79,2.3,0,2.3,10920,2013
KML,30-Jun-13,509.11,10,50,521.43,5860.06,8451.77,505.42,1087.21,78.55,1008.67,0,0,0,1639,2013
IDRT,30-Jun-13,180.48,10,18,526.16,2505.44,2242.36,91.1,79.26,17.71,61.55,10,0,10,1700,2013
PKGI,31-Dec-13,375,10,37,526.74,807.51,217.2,0.43,19.03,-8.26,27.29,0,0,0,1018,2013
NATM,30-Jun-13,120.15,10,12,536.14,2315.96,4322.72,101.38,114.48,41.78,72.7,0,0,0,54,2013
MQTM,30-Jun-13,168,10,16,537.71,2155.43,4554.28,89.12,236.37,62.81,173.56,27.5,0,27.5,740,2013
CHAS,30-Sep-13,286.92,10,28,544.39,7485.95,6673.73,424.52,56.73,23.76,32.97,0,0,0,1077,2013
FUDLM,30-Jun-13,263.87,10,26,551.46,794.23,181.88,0.04,41.55,0,41.55,20,0,20,3155,2013
DIIL,30-Jun-13,90,10,9,557.04,759.77,1794.28,8.32,12.75,21.85,-9.11,0,0,0,270,2013
DOL,30-Jun-13,1020,10,102,557.73,2911.95,1369.55,255.53,-45.92,5.31,-51.23,0,0,0,4171,2013
EWIC,31-Dec-13,365,10,36,559.29,1075.99,727.97,0,148.58,22.21,126.37,10,10,20,335,2013
BCL,30-Jun-13,104.3,10,10,560.05,1344.4,1745.97,49.35,33.7,10.81,22.88,0,10,10,783,2013
ZTL,30-Jun-13,594.29,10,59,562.95,3420.12,3840.91,236.68,122.78,8.52,114.26,0,0,0,510,2013
ISTM,30-Jun-13,96.6,10,9,563.61,2404.16,3731.27,139.63,91.62,19.56,72.06,10,0,10,1089,2013
SAZEW,30-Jun-13,179.72,10,17,565.1,1003.25,1881.5,10.01,96.09,29.58,66.51,10,0,10,699,2013
CCM,30-Jun-13,213.78,10,21,577.69,3938.32,3816.58,39.19,319.25,63.28,255.98,20,0,20,1493,2013
DSL,30-Jun-13,674.65,10,67,585.67,2047.96,0,0,-6.19,0,-6.19,0,0,0,11860,2013
BCML,30-Jun-13,36.52,10,3,591.07,1806.07,2064.44,45.82,302.34,86.95,215.39,0,0,0,1642,2013
SSML,30-Jun-13,298.41,10,29,599.37,1597.52,2188.43,58.21,157.97,37.37,120.6,10,0,10,1079,2013
SING,31-Dec-13,454.06,10,45,615.72,3094.56,2222.51,184.58,55.19,18.93,36.26,0,0,0,1026,2013
AGIC,31-Dec-13,388.34,10,38,618.48,2237.99,931.9,0,149.64,30.57,119.07,0,0,0,1610,2013
NONS,30-Sep-13,165.18,10,16,628.62,1756.43,3834.73,152.34,-136.39,23.53,-159.92,0,0,0,1996,2013
